Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-26.2615	3.692413	-19.89356	-36.605827	50.0	-10.317323	5.716853	0.18800817	-24.512747	140000	5.069375e-09	14.521984	-0.022836518	-0.3164997	0.48134506	0.010457843	0.0902	79.0	102.61341404914856
28	-25.317915	3.9872067	-15.538907	-44.876957	50.0	-9.978491	5.678755	3.7898915	-23.530834	145000	-3.921986e-09	15.657828	-0.021103658	-0.41914082	0.4581907	0.005469034	0.0836	79.0	106.67783617973328
29	-24.24482	3.2559428	-17.380999	-31.937792	50.0	-10.021907	5.397982	0.8460031	-23.365662	150000	1.2244284e-08	11.150911	-0.021333156	-0.51665306	0.43001387	0.009336367	0.0926	79.0	110.78534197807312
30	-23.873907	3.050361	-17.465324	-31.596981	50.0	-9.565045	5.0669184	-1.3522748	-21.853779	155000	-8.4340573e-10	9.144912	-0.02203923	-0.18820858	0.40652245	0.0036021026	0.0884	79.0	114.75408387184143
31	-23.37691	3.3279274	-15.708154	-29.754486	50.0	-9.5451	4.8710313	0.047609895	-22.039509	160000	-1.4328957e-08	9.480575	-0.022227861	-0.19560719	0.37998748	0.0075275423	0.0964	79.0	118.8179280757904
32	-21.893478	3.238979	-13.709439	-28.985298	50.0	-9.393291	4.7676044	-0.7656413	-20.416739	165000	7.247925e-09	9.5983095	-0.021355	-0.5966301	0.35537335	0.006765277	0.0822	79.0	122.95958685874939
33	-21.443121	3.1653156	-15.149665	-30.621168	50.0	-8.805005	4.4233212	-0.30693507	-19.520128	170000	-1.3482571e-08	8.451297	-0.022173095	-0.23225307	0.333437	0.0095096165	0.09	79.0	126.97013306617737
34	-20.475784	3.3503273	-14.19955	-27.326113	50.0	-8.777024	4.281212	-0.8140125	-18.893997	175000	-7.843972e-09	8.128325	-0.02311491	-0.5527053	0.30979034	0.0074932924	0.0918	79.0	131.08405900001526
35	-19.788887	3.106003	-14.0179615	-27.719494	50.0	-8.218376	4.217477	0.56825715	-17.666525	180000	1.475215e-10	6.819024	-0.02138658	-0.29185057	0.28653952	0.010323645	0.0878	79.0	135.08403706550598
36	-19.455915	2.8959503	-12.924854	-27.231686	50.0	-7.8994	3.9798794	0.4445177	-18.026451	185000	-5.960465e-11	6.201212	-0.022217877	-0.104932785	0.26062033	0.008386065	0.0932	79.0	139.23321104049683
