Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.1159E-06,-0.00045852,0.01511,0,0,0,0.47731,0.00060819,-1.4211E-07,2.912E-08,0.00062131,-2.5797E-06,0.0011481,0,0,0,0,0,0,package://c800_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://c800_description/meshes/base_link.STL,,C800.STEP-1/J^____800____(2)_____800____.STEP-1/____A^____800____(2)_____800____.STEP-1;C800.STEP-1/J^____800____(2)_____800____.STEP-1/______A^____800____(2)_____800____.STEP-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.009995,0.00010952,-0.088076,0,0,0,1.8893,0.0041014,-5.8451E-06,0.0003739,0.0046287,4.1148E-06,0.0033533,0,0,0,0,0,0,package://c800_description/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://c800_description/meshes/link_1.STL,,C800.STEP-1/____123____^____800____(2)_____800____.STEP-1/20__________^____123_________800____(2)_____800____.STEP-1;C800.STEP-1/____123____^____800____(2)_____800____.STEP-1/______AA^____123_________800____(2)_____800____.STEP-1;C800.STEP-1/____123____^____800____(2)_____800____.STEP-1/______A^____123_________800____(2)_____800____.STEP-1,坐标系2,基准轴1,joint_1,revolute,0,0,0.0317,3.1416,0,-1.5598,base_link,0,0,1,100,3,-3,3,,,,,,,,
link_2,0.087798,0.00096966,-0.1742,0,0,0,5.0587,0.012152,-2.8164E-05,-3.968E-10,0.014702,-4.2598E-08,0.0095763,0,0,0,0,0,0,package://c800_description/meshes/link_2.STL,1,1,1,1,0,0,0,0,0,0,package://c800_description/meshes/link_2.STL,,C800.STEP-1/____123____^____800____(2)_____800____.STEP-2/20__________^____123_________800____(2)_____800____.STEP-1;C800.STEP-1/____123____^____800____(2)_____800____.STEP-2/______AA^____123_________800____(2)_____800____.STEP-1;C800.STEP-1/____123____^____800____(2)_____800____.STEP-2/______A^____123_________800____(2)_____800____.STEP-1;C800.STEP-1/2______^____800____(2)_____800____.STEP-1;C800.STEP-1/____123____^____800____(2)_____800____.STEP-3/______A^____123_________800____(2)_____800____.STEP-1;C800.STEP-1/____123____^____800____(2)_____800____.STEP-3/20__________^____123_________800____(2)_____800____.STEP-1;C800.STEP-1/____123____^____800____(2)_____800____.STEP-3/______AA^____123_________800____(2)_____800____.STEP-1,坐标系3,基准轴2,joint_2,revolute,0.075695,0.00083599,-0.087,0,0,0,link_1,0.99994,0.011043,0,100,3,-3,3,,,,,,,,
link_3,-0.074461,-0.00081729,-0.18595,0,0,0,2.4785,0.0066463,-2.7745E-06,-0.00025133,0.0069332,-2.9588E-06,0.0024538,0,0,0,0,0,0,package://c800_description/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://c800_description/meshes/link_3.STL,,C800.STEP-1/______2^____800____(2)_____800____.STEP-1/______A^____800____(2)_____800____.STEP-1;C800.STEP-1/______2^____800____(2)_____800____.STEP-1/2019-12-28-____^____800____(2)_____800____.STEP-1;C800.STEP-1/______2^____800____(2)_____800____.STEP-1/______C^____800____(2)_____800____.STEP-1;C800.STEP-1/3______A^____800____(2)_____800____.STEP-1;C800.STEP-1/456______11-2^____800____(2)_____800____.STEP-1/456______-1^____800____(2)_____800____.STEP-1;C800.STEP-1/456______11-2^____800____(2)_____800____.STEP-1/______BB^____800____(2)_____800____.STEP-1;C800.STEP-1/456______11-2^____800____(2)_____800____.STEP-1/456____-1^456______11-2_____800____(2)_____800____.STEP-1;C800.STEP-1/456______11-2^____800____(2)_____800____.STEP-2/456______-1^____800____(2)_____800____.STEP-1,坐标系4,基准轴3,joint_3,revolute,0,0,-0.3484,0,0,0,link_2,0.99994,0.011043,0,100,3,-3,3,,,,,,,,
link_4,0.03744,0.00041334,0.011039,0,0,0,0.69512,0.0007079,-9.1282E-07,-1.3418E-11,0.00079063,-9.8306E-11,0.00062854,0,0,0,0,0,0,package://c800_description/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://c800_description/meshes/link_4.STL,,C800.STEP-1/456______11-2^____800____(2)_____800____.STEP-2/______BB^____800____(2)_____800____.STEP-1;C800.STEP-1/456______11-2^____800____(2)_____800____.STEP-2/456____-1^456______11-2_____800____(2)_____800____.STEP-1;C800.STEP-1/456______11-2-1^____800____(2)_____800____.STEP-1/456______-1^____800____(2)_____800____.STEP-1,坐标系5,基准轴4,joint_4,revolute,-0.017899,-0.00019768,-0.3495,0,0,0,link_3,-0.99994,-0.011043,0,100,3,-3,3,,,,,,,,
link_5,-0.011486,-0.00012684,-0.045406,0,0,0,0.69038,0.00062179,-1.8272E-06,1.9143E-11,0.00078721,5.7484E-12,0.00070448,0,0,0,0,0,0,package://c800_description/meshes/link_5.STL,1,1,1,1,0,0,0,0,0,0,package://c800_description/meshes/link_5.STL,,C800.STEP-1/456______11-2-1^____800____(2)_____800____.STEP-1/______BB^____800____(2)_____800____.STEP-1;C800.STEP-1/456______11-2-1^____800____(2)_____800____.STEP-1/456____-1^456______11-2-1_____800____(2)_____800____.STEP-1,坐标系6,基准轴5,joint_5,revolute,0.042397,0.00046824,-0.0501,0,0,0,link_4,0,0,1,100,3,-3,3,,,,,,,,
link_6,0.01497,0.00016533,-6.0527E-10,0,0,0,0.13891,0.00011411,5.0377E-07,1.0257E-12,6.8505E-05,-1.0223E-10,6.85E-05,0,0,0,0,0,0,package://c800_description/meshes/link_6.STL,1,1,1,1,0,0,0,0,0,0,package://c800_description/meshes/link_6.STL,,C800.STEP-1/456______11-2-1^____800____(2)_____800____.STEP-1/__________-1^____800____(2)_____800____.STEP-1,坐标系7,基准轴6,joint_6,revolute,0.050097,0.00055327,-0.0504,0,0,0,link_5,1,0,0,100,3,-3,3,,,,,,,,
